安徽频道,#genre#
CCTV9 记录,http://27.11.247.37:66/rtp/225.0.4.131:7980
CCTV9 记录,http://27.11.104.61:8003/rtp/225.0.4.131:7980
CCTV9 记录,http://27.11.56.206:8010/rtp/225.0.4.131:7980
CCTV9 记录,http://27.10.76.34:8004/rtp/225.0.4.131:7980
CCTV9 记录,http://27.11.52.62:8005/rtp/225.0.4.131:7980
CCTV10 科教,http://27.10.211.143:8004/rtp/225.0.4.130:7980$1920x1080
CCTV10 科教,http://123.145.11.206:8003/rtp/225.0.4.130:7980$1920x1080
CCTV10 科教,http://27.11.104.61:8005/rtp/225.0.4.130:7980$1920x1080
CCTV10 科教,http://27.11.55.179:8003/rtp/225.0.4.130:7980$1920x1080
CCTV10 科教,http://27.11.104.61:8004/rtp/225.0.4.130:7980$1920x1080
CCTV10 科教,http://27.11.49.234:8004/rtp/225.0.4.130:7980$1920x1080
CCTV10 科教,http://27.11.255.145:8003/rtp/225.0.4.130:7980$1920x1080
CCTV10 科教,http://27.10.78.25:8010/rtp/225.0.4.130:7980
CCTV10 科教,http://27.11.55.179:8005/rtp/225.0.4.130:7980
CCTV10 科教,http://211.158.152.202:8005/rtp/225.0.4.130:7980
CCTV10 科教,http://27.10.76.34:8001/rtp/225.0.4.130:7980
CCTV10 科教,http://27.11.247.37:66/rtp/225.0.4.130:7980
CCTV10 科教,http://27.11.104.61:8003/rtp/225.0.4.130:7980
CCTV10 科教,http://27.11.56.206:8010/rtp/225.0.4.130:7980
CCTV10 科教,http://27.10.76.34:8004/rtp/225.0.4.130:7980
CCTV11 戏曲,http://27.10.78.25:8010/rtp/225.0.4.218:7980
CCTV11 戏曲,http://27.11.55.179:8005/rtp/225.0.4.218:7980
CCTV11 戏曲,http://211.158.152.202:8005/rtp/225.0.4.218:7980
CCTV11 戏曲,http://27.10.76.34:8001/rtp/225.0.4.218:7980
CCTV11 戏曲,http://27.11.247.37:66/rtp/225.0.4.218:7980
CCTV11 戏曲,http://27.11.104.61:8003/rtp/225.0.4.218:7980
CCTV11 戏曲,http://27.11.56.206:8010/rtp/225.0.4.218:7980
CCTV11 戏曲,http://27.10.76.34:8004/rtp/225.0.4.218:7980
CCTV11 戏曲,http://27.11.52.62:8005/rtp/225.0.4.218:7980
CCTV11 戏曲,http://27.11.49.234:8003/rtp/225.0.4.218:7980
CCTV11 戏曲,http://27.10.211.143:8005/rtp/225.0.4.218:7980
CCTV11 戏曲,http://27.10.76.34:8007/rtp/225.0.4.218:7980
CCTV11 戏曲,http://27.11.52.62:8003/rtp/225.0.4.218:7980
CCTV11 戏曲,http://27.10.209.248:8004/rtp/225.0.4.218:7980
CCTV11 戏曲,http://27.11.163.206:8001/rtp/225.0.4.218:7980
CCTV12 社会与法,http://27.11.55.179:8003/rtp/225.0.4.129:7980$1920x1080
CCTV12 社会与法,http://27.11.52.62:8001/rtp/225.0.4.129:7980$1920x1080
CCTV12 社会与法,http://27.11.52.62:8002/rtp/225.0.4.129:7980$1920x1080
CCTV12 社会与法,http://27.10.76.34:8006/rtp/225.0.4.129:7980$1920x1080
CCTV12 社会与法,http://27.10.76.34:8002/rtp/225.0.4.129:7980$1920x1080
CCTV12 社会与法,http://27.10.76.34:8007/rtp/225.0.4.129:7980$1920x1080
CCTV12 社会与法,http://27.11.104.61:8004/rtp/225.0.4.129:7980$1920x1080
CCTV12 社会与法,http://27.11.104.61:8005/rtp/225.0.4.129:7980$1920x1080
CCTV12 社会与法,http://27.10.211.143:8004/rtp/225.0.4.129:7980$1920x1080
CCTV12 社会与法,http://27.11.255.145:8003/rtp/225.0.4.129:7980$1920x1080
CCTV12 社会与法,http://27.11.49.234:8004/rtp/225.0.4.129:7980$1920x1080
CCTV12 社会与法,http://27.10.78.25:8010/rtp/225.0.4.129:7980
CCTV12 社会与法,http://27.11.55.179:8005/rtp/225.0.4.129:7980
CCTV12 社会与法,http://211.158.152.202:8005/rtp/225.0.4.129:7980
CCTV12 社会与法,http://27.10.76.34:8001/rtp/225.0.4.129:7980
CCTV13 新闻,http://27.10.78.25:8010/rtp/225.0.4.219:7980
CCTV13 新闻,http://27.11.55.179:8005/rtp/225.0.4.219:7980
CCTV13 新闻,http://211.158.152.202:8005/rtp/225.0.4.219:7980
CCTV13 新闻,http://27.10.76.34:8001/rtp/225.0.4.219:7980
CCTV13 新闻,http://27.11.247.37:66/rtp/225.0.4.219:7980
CCTV13 新闻,http://27.11.104.61:8003/rtp/225.0.4.219:7980
CCTV13 新闻,http://27.11.56.206:8010/rtp/225.0.4.219:7980
CCTV13 新闻,http://27.10.76.34:8004/rtp/225.0.4.219:7980
CCTV13 新闻,http://27.11.52.62:8005/rtp/225.0.4.219:7980
CCTV13 新闻,http://27.11.49.234:8003/rtp/225.0.4.219:7980
CCTV13 新闻,http://27.10.211.143:8005/rtp/225.0.4.219:7980
CCTV13 新闻,http://27.10.76.34:8007/rtp/225.0.4.219:7980
CCTV13 新闻,http://27.11.52.62:8003/rtp/225.0.4.219:7980
CCTV13 新闻,http://27.10.209.248:8004/rtp/225.0.4.219:7980
CCTV13 新闻,http://27.11.163.206:8001/rtp/225.0.4.219:7980
CCTV14 少儿,http://27.10.76.34:8006/rtp/225.0.4.128:7980$1920x1080
CCTV14 少儿,http://27.10.76.34:8002/rtp/225.0.4.128:7980$1920x1080
CCTV14 少儿,http://27.11.104.61:8004/rtp/225.0.4.128:7980$1920x1080
CCTV14 少儿,http://27.10.76.34:8007/rtp/225.0.4.128:7980$1920x1080
CCTV14 少儿,http://27.11.52.62:8002/rtp/225.0.4.128:7980$1920x1080
CCTV14 少儿,http://27.11.55.179:8003/rtp/225.0.4.128:7980$1920x1080
CCTV14 少儿,http://27.11.255.145:8003/rtp/225.0.4.128:7980$1920x1080
CCTV14 少儿,http://27.11.49.234:8004/rtp/225.0.4.128:7980$1920x1080
CCTV14 少儿,http://27.10.78.25:8010/rtp/225.0.4.128:7980
CCTV14 少儿,http://27.11.55.179:8005/rtp/225.0.4.128:7980
CCTV14 少儿,http://211.158.152.202:8005/rtp/225.0.4.128:7980
CCTV14 少儿,http://27.10.76.34:8001/rtp/225.0.4.128:7980
CCTV14 少儿,http://27.11.247.37:66/rtp/225.0.4.128:7980
CCTV14 少儿,http://27.11.104.61:8003/rtp/225.0.4.128:7980
CCTV14 少儿,http://27.11.56.206:8010/rtp/225.0.4.128:7980
CCTV15 音乐,http://123.145.11.206:8003/rtp/225.0.4.220:7980$1920x1080
CCTV15 音乐,http://27.10.78.25:8010/rtp/225.0.4.220:7980
CCTV15 音乐,http://27.11.55.179:8005/rtp/225.0.4.220:7980
CCTV15 音乐,http://211.158.152.202:8005/rtp/225.0.4.220:7980
